,description,title,salary,company,location,class,days_before
148,"Principle Data Scientist - Global Finance Company 
Provide technical leadership in the field of big data and data science while managing a DS team!",Principle Data Scientist,"$190,000.00 - $205,000.00 p.a. + incl super + bonus",Bluefin Resources Pty Limited,Sydney NSW,Banking & Financial Services,13d ago
149,"Working to deliver the best client solutions. We enable you to succeed with access to top tech, amazing mentors and colleagues.",Data Engineer,NA,Versent Pty Ltd,Sydney NSW,Information & Communication Technology,6d ago
150,Join a tech-first and award-winning tech solution as a Senior Data Engineer to help architect and build a greenfield cloud data platform.,Senior Data Engineer,"$150,000 - $180,000 + Bonus",SustainAbility Consulting,Sydney NSW,Information & Communication Technology,13h ago
151,"High profile consulting firm;  banking and financial services clients
market leading bonus up to 25%, flexible hybrid working model, study support",Data Scientist,$120k - $130k p.a. + super + bonus + benefits,Bluefin Resources Pty Limited,Sydney NSW,Banking & Financial Services,14d ago
152,Principal Data Consultant | Permanent Position | Sydney Based,Principal Data Consultant,"$170,000 - $186,000 (Incl. Super)",PRA,Sydney NSW,Information & Communication Technology,15h ago
153,Opportunity to deliver a large-scale data transformation for one of our major banking clients.,Principal Data Engineer - Data & Analytics,NA,The Argyle Network,Sydney NSW,Information & Communication Technology,6d ago
154,Permanent opportunity with a data science company working in the health sector,Analytics Engineer,NA,NewyTechPeople,Sydney NSW,Information & Communication Technology,6d ago
155,Are you a Data Scientist with a passion for data science? Join our team of specialists at Catapult BI.,Data Scientist,NA,CatapultBI,Sydney NSW,Information & Communication Technology,12d ago
156,Work with an ever growing organization who are working with a wide range of customers delivering cutting edge solutions across Data & Engineering,Senior Data Engineer,"$180,000k - $200,000k p.a. + Super + Bonus",Precision Sourcing,Sydney NSW,Information & Communication Technology,17h ago
157,ASIC is seeking a full time Senior Data Engineer to join their IT Team,Senior Data Engineer,NA,ASIC,Parliament House,Information & Communication Technology,5d ago
158,This is a perfect time for a Data Engineer to  join as this large organisation  transitions to GCP Cloud Services. Permanent role at North West.,Data Engineer,NA,Talent Insights Group Pty Ltd,Sydney NSW,Information & Communication Technology,6d ago
159,"You will be responsible for creating, expanding and optimising the data pipelines and working closely with the Front-End Developers to deliver data.",Data Engineer,"$103,500 - $122,700 (including superannuation)",Aldi Stores,Minchinbury,Information & Communication Technology,2d ago
160,Work with a leading business to continue to build out their Machine Learning practice as they capitalise on a massive period of growth.,Machine Learning Engineer,$150 - $160k + super + benefits,TheDriveGroup,Sydney NSW,Information & Communication Technology,5d ago
161,Looking for exceptional Machine Learning Engineers for an ecommerce Tech company - Sydney base,Machine Learning Engineer,$220k - $270k inc. Super (Excluding Equity),Charterhouse,Sydney NSW,Information & Communication Technology,5d ago
162,"Picture this… you, working on software that transforms images of the world into actionable insights. Cool right? Click for more.",Machine Learning Engineer,"$120,000 - $140,000 + Bonus",The Onset,Sydney NSW,Information & Communication Technology,21h ago
163,We have an opportunity for a Junior Machine Learning Engineer to join the team at our Sydney office.,Junior Machine Learning Engineer,NA,Stockland,Sydney NSW,Information & Communication Technology,6d ago
164,The UTS Data Science Institute invites applications for TWO 3.5 years fully funded PhD Research Studentships,PhD Studentships in Automated and Transparent Machine Learning,NA,University of Technology Sydney,Sydney NSW,Education & Training,15h ago
165,"Join our quantitative trading team and build models for high frequency asset price prediction, analyse the resulting trades for price prediction.",Machine Learning Data Scientist,NA,Susquehanna Pacific Pty Ltd,Sydney NSW,Science & Technology,8d ago
166,Senior Data Engineer/Machine Learning | Permanent Position | Sydney Based,Senior Data Engineer/Machine Learning,"$135,000 - $165,000 (Incl. Super)",PRA,Sydney NSW,Information & Communication Technology,2d ago
167,"Join a fantastic team within a challenging environment, having access to cutting edge technology and continue career development and growth.",Machine Learning Engineer,Up to $900 incl super,Correlate Resources,Sydney NSW,Information & Communication Technology,13d ago
168,CPB Contractor's is seeking an enthusiastic Data Science to support the HR strategic and annual business plans at CPB!,Data Scientist,NA,CPB Contractors Pty Limited,North Sydney,Science & Technology,2d ago
169,"Developing and managing ML/AI systems. Experience on modern cloud-based architectures and APIs using Python, SQL, Data Engineer.",AI Engineer,NA,Pearson Australia,Sydney NSW,Information & Communication Technology,22h ago
170,"CORRELATE RESOURCES : Your trusted Data Analytics Recruitment Partner. APPLY NOW for exclusive opportunities, market insights & ongoing career support",Data Scientist,NA,Correlate Resources,Sydney NSW,Science & Technology,8d ago
171,#4 Best Place to work in Australia. Large Public & Commercial Clients. WFH & Flexible working hours. Collaborative and motivating team culture.,Data Engineer,"$100,000-$120,000 + Super + 5% Bonus",AC3 Pty Limited,Sydney NSW,Information & Communication Technology,21h ago
172,Based in North Sydney. Designing large-scale experimentations on data across business silos. WFH opportunities.,Senior Data Scientist,NA,Laing O'Rourke Australia Construction Pty Limited,North Sydney,Information & Communication Technology,20h ago
173,Lead - Machine Learning - Impactful role with a global end-user.,Machine Learning Lead,"$180,000 - $200,000",Alloc8,Sydney NSW,Information & Communication Technology,16d ago
174,"Looking for a role where your input is valued,  good $$ and you get to build end-to-end data science solutions in Databricks & Azure?",Senior Data Scientist - Macquarie Park/WfH,Base + super  + 14% bonus,Talent Insights Group Pty Ltd,Macquarie Park,Science & Technology,2d ago
175,"Developing and managing ML/AI systems. Experience on modern cloud-based architectures and APIs using Python, SQL, Data Engineer.",Senior AI Systems Engineer,NA,Pearson Australia,Sydney NSW,Information & Communication Technology,7d ago
176,"CORRELATE RESOURCES : Your trusted Data Analytics Recruitment Partner. APPLY NOW for exclusive opportunities, market insights & ongoing career support",Data Scientist,$110-$130 + Super + Bonus,Correlate Resources,Sydney NSW,Science & Technology,8d ago
177,"Part of a mature team, the Machine Learning Engineer will be responsible for design, development and implementation of ML pipelines",Machine Learning Engineer,Attractive Salary Package + Benefits,Robert Walters,North Sydney,Information & Communication Technology,14d ago
178,"Liaise with critical internal & external stakeholders to provide insights, recommendations, and solutions to complex data problems.",Data Scientist - Life and Investments,NA,Zurich Financial Services Australia,North Shore & Northern Beaches,Information & Communication Technology,2d ago
179,Opportunity with a Nationally known brand - State of art technology - WFH ability,Machine Learning Engineer,NA,Intelligen Pty Ltd,Sydney NSW,Information & Communication Technology,21d ago
180,The successful candidate will be responsible for improving the existing statistical & ML models as well as developing novel analytical solutions.,Data Scientist,NA,Bet Technology,Sydney NSW,Science & Technology,13d ago
181,"Data Engineer Data Platforms Sydney Based, Permanent Role",Data Engineer,NA,Westpac Group,Sydney NSW,Information & Communication Technology,2d ago
182,Leading Aussie Bank is looking for experienced data engineers to play a key role in their innovative Data Platform!,Data Engineers - Big Data,NA,The Argyle Network,Sydney NSW,Information & Communication Technology,2d ago
183,Flexible working practices; opportunity to work fully remotely or from home or hybrid model. Growing Analytics and Data Science team.,Data Scientist,$140k - $150k p.a. + super,Bluefin Resources Pty Limited,Sydney NSW,Banking & Financial Services,14d ago
184,"Design, maintain and optimise Market Data Links crucial to the success of all Trading desks in a highly desirable High Frequency Trading Firm.",Data Engineer - Python (High Frequency Trading),"$180,000 - $300,000",Westbury Partners,Sydney NSW,Information & Communication Technology,2d ago
185,"Data Scientist in our Knowledge Graph squad that focuses on transforming marketplace data into rich, meaningful and connected assets and insights.",Data Scientist (Knowledge Graph),Base + Super + Bonus,SEEK Limited,Sydney NSW,Science & Technology,15d ago
186,"Engineer- Big Data Technologies Data Platforms Sydney Based, Permanent Role",Engineer- Big Data Technologies,NA,Westpac Group,Sydney NSW,Information & Communication Technology,2d ago
187,ASIC is seeking a full time Senior Data Engineer to join their IT Team,Senior Data Engineer,NA,ASIC,Parliament House,Government & Defence,5d ago
188,"Principle Data Scientist - Global Finance Company 
Provide technical leadership in the field of big data and data science while managing a DS team!",Principle Data Scientist,"$190,000.00 - $205,000.00 p.a. + incl super + bonus",Bluefin Resources Pty Limited,Sydney NSW,Banking & Financial Services,13d ago
189,"Working to deliver the best client solutions. We enable you to succeed with access to top tech, amazing mentors and colleagues.",Data Engineer,NA,Versent Pty Ltd,Sydney NSW,Information & Communication Technology,6d ago
190,Join a tech-first and award-winning tech solution as a Senior Data Engineer to help architect and build a greenfield cloud data platform.,Senior Data Engineer,"$150,000 - $180,000 + Bonus",SustainAbility Consulting,Sydney NSW,Information & Communication Technology,13h ago
191,"High profile consulting firm;  banking and financial services clients
market leading bonus up to 25%, flexible hybrid working model, study support",Data Scientist,$120k - $130k p.a. + super + bonus + benefits,Bluefin Resources Pty Limited,Sydney NSW,Banking & Financial Services,14d ago
192,Principal Data Consultant | Permanent Position | Sydney Based,Principal Data Consultant,"$170,000 - $186,000 (Incl. Super)",PRA,Sydney NSW,Information & Communication Technology,15h ago
193,Opportunity to deliver a large-scale data transformation for one of our major banking clients.,Principal Data Engineer - Data & Analytics,NA,The Argyle Network,Sydney NSW,Information & Communication Technology,6d ago
194,Permanent opportunity with a data science company working in the health sector,Analytics Engineer,NA,NewyTechPeople,Sydney NSW,Information & Communication Technology,6d ago
195,Are you a Data Scientist with a passion for data science? Join our team of specialists at Catapult BI.,Data Scientist,NA,CatapultBI,Sydney NSW,Information & Communication Technology,12d ago
196,Work with an ever growing organization who are working with a wide range of customers delivering cutting edge solutions across Data & Engineering,Senior Data Engineer,"$180,000k - $200,000k p.a. + Super + Bonus",Precision Sourcing,Sydney NSW,Information & Communication Technology,17h ago
197,ASIC is seeking a full time Senior Data Engineer to join their IT Team,Senior Data Engineer,NA,ASIC,Parliament House,Information & Communication Technology,5d ago
198,This is a perfect time for a Data Engineer to  join as this large organisation  transitions to GCP Cloud Services. Permanent role at North West.,Data Engineer,NA,Talent Insights Group Pty Ltd,Sydney NSW,Information & Communication Technology,6d ago
199,"You will be responsible for creating, expanding and optimising the data pipelines and working closely with the Front-End Developers to deliver data.",Data Engineer,"$103,500 - $122,700 (including superannuation)",Aldi Stores,Minchinbury,Information & Communication Technology,2d ago
200,Work with a leading business to continue to build out their Machine Learning practice as they capitalise on a massive period of growth.,Machine Learning Engineer,$150 - $160k + super + benefits,TheDriveGroup,Sydney NSW,Information & Communication Technology,5d ago
201,Looking for exceptional Machine Learning Engineers for an ecommerce Tech company - Sydney base,Machine Learning Engineer,$220k - $270k inc. Super (Excluding Equity),Charterhouse,Sydney NSW,Information & Communication Technology,5d ago
202,"Picture this… you, working on software that transforms images of the world into actionable insights. Cool right? Click for more.",Machine Learning Engineer,"$120,000 - $140,000 + Bonus",The Onset,Sydney NSW,Information & Communication Technology,21h ago
203,We have an opportunity for a Junior Machine Learning Engineer to join the team at our Sydney office.,Junior Machine Learning Engineer,NA,Stockland,Sydney NSW,Information & Communication Technology,6d ago
204,The UTS Data Science Institute invites applications for TWO 3.5 years fully funded PhD Research Studentships,PhD Studentships in Automated and Transparent Machine Learning,NA,University of Technology Sydney,Sydney NSW,Education & Training,15h ago
205,"Join our quantitative trading team and build models for high frequency asset price prediction, analyse the resulting trades for price prediction.",Machine Learning Data Scientist,NA,Susquehanna Pacific Pty Ltd,Sydney NSW,Science & Technology,8d ago
206,Senior Data Engineer/Machine Learning | Permanent Position | Sydney Based,Senior Data Engineer/Machine Learning,"$135,000 - $165,000 (Incl. Super)",PRA,Sydney NSW,Information & Communication Technology,2d ago
207,"Join a fantastic team within a challenging environment, having access to cutting edge technology and continue career development and growth.",Machine Learning Engineer,Up to $900 incl super,Correlate Resources,Sydney NSW,Information & Communication Technology,13d ago
208,CPB Contractor's is seeking an enthusiastic Data Science to support the HR strategic and annual business plans at CPB!,Data Scientist,NA,CPB Contractors Pty Limited,North Sydney,Science & Technology,2d ago
209,"Developing and managing ML/AI systems. Experience on modern cloud-based architectures and APIs using Python, SQL, Data Engineer.",AI Engineer,NA,Pearson Australia,Sydney NSW,Information & Communication Technology,22h ago
210,"CORRELATE RESOURCES : Your trusted Data Analytics Recruitment Partner. APPLY NOW for exclusive opportunities, market insights & ongoing career support",Data Scientist,NA,Correlate Resources,Sydney NSW,Science & Technology,8d ago
211,#4 Best Place to work in Australia. Large Public & Commercial Clients. WFH & Flexible working hours. Collaborative and motivating team culture.,Data Engineer,"$100,000-$120,000 + Super + 5% Bonus",AC3 Pty Limited,Sydney NSW,Information & Communication Technology,21h ago
212,Based in North Sydney. Designing large-scale experimentations on data across business silos. WFH opportunities.,Senior Data Scientist,NA,Laing O'Rourke Australia Construction Pty Limited,North Sydney,Information & Communication Technology,20h ago
213,Lead - Machine Learning - Impactful role with a global end-user.,Machine Learning Lead,"$180,000 - $200,000",Alloc8,Sydney NSW,Information & Communication Technology,16d ago
214,"Looking for a role where your input is valued,  good $$ and you get to build end-to-end data science solutions in Databricks & Azure?",Senior Data Scientist - Macquarie Park/WfH,Base + super  + 14% bonus,Talent Insights Group Pty Ltd,Macquarie Park,Science & Technology,2d ago
215,"Developing and managing ML/AI systems. Experience on modern cloud-based architectures and APIs using Python, SQL, Data Engineer.",Senior AI Systems Engineer,NA,Pearson Australia,Sydney NSW,Information & Communication Technology,7d ago
216,"CORRELATE RESOURCES : Your trusted Data Analytics Recruitment Partner. APPLY NOW for exclusive opportunities, market insights & ongoing career support",Data Scientist,$110-$130 + Super + Bonus,Correlate Resources,Sydney NSW,Science & Technology,8d ago
217,"Part of a mature team, the Machine Learning Engineer will be responsible for design, development and implementation of ML pipelines",Machine Learning Engineer,Attractive Salary Package + Benefits,Robert Walters,North Sydney,Information & Communication Technology,14d ago
218,"Liaise with critical internal & external stakeholders to provide insights, recommendations, and solutions to complex data problems.",Data Scientist - Life and Investments,NA,Zurich Financial Services Australia,North Shore & Northern Beaches,Information & Communication Technology,2d ago
219,Opportunity with a Nationally known brand - State of art technology - WFH ability,Machine Learning Engineer,NA,Intelligen Pty Ltd,Sydney NSW,Information & Communication Technology,21d ago
220,The successful candidate will be responsible for improving the existing statistical & ML models as well as developing novel analytical solutions.,Data Scientist,NA,Bet Technology,Sydney NSW,Science & Technology,13d ago
221,"Data Engineer Data Platforms Sydney Based, Permanent Role",Data Engineer,NA,Westpac Group,Sydney NSW,Information & Communication Technology,2d ago
222,Leading Aussie Bank is looking for experienced data engineers to play a key role in their innovative Data Platform!,Data Engineers - Big Data,NA,The Argyle Network,Sydney NSW,Information & Communication Technology,2d ago
223,Flexible working practices; opportunity to work fully remotely or from home or hybrid model. Growing Analytics and Data Science team.,Data Scientist,$140k - $150k p.a. + super,Bluefin Resources Pty Limited,Sydney NSW,Banking & Financial Services,14d ago
224,"Design, maintain and optimise Market Data Links crucial to the success of all Trading desks in a highly desirable High Frequency Trading Firm.",Data Engineer - Python (High Frequency Trading),"$180,000 - $300,000",Westbury Partners,Sydney NSW,Information & Communication Technology,2d ago
225,"Data Scientist in our Knowledge Graph squad that focuses on transforming marketplace data into rich, meaningful and connected assets and insights.",Data Scientist (Knowledge Graph),Base + Super + Bonus,SEEK Limited,Sydney NSW,Science & Technology,15d ago
226,"Engineer- Big Data Technologies Data Platforms Sydney Based, Permanent Role",Engineer- Big Data Technologies,NA,Westpac Group,Sydney NSW,Information & Communication Technology,2d ago
227,ASIC is seeking a full time Senior Data Engineer to join their IT Team,Senior Data Engineer,NA,ASIC,Parliament House,Government & Defence,5d ago
228,"Principle Data Scientist - Global Finance Company 
Provide technical leadership in the field of big data and data science while managing a DS team!",Principle Data Scientist,"$190,000.00 - $205,000.00 p.a. + incl super + bonus",Bluefin Resources Pty Limited,Sydney NSW,Banking & Financial Services,13d ago
229,"Working to deliver the best client solutions. We enable you to succeed with access to top tech, amazing mentors and colleagues.",Data Engineer,NA,Versent Pty Ltd,Sydney NSW,Information & Communication Technology,6d ago
230,Join a tech-first and award-winning tech solution as a Senior Data Engineer to help architect and build a greenfield cloud data platform.,Senior Data Engineer,"$150,000 - $180,000 + Bonus",SustainAbility Consulting,Sydney NSW,Information & Communication Technology,13h ago
231,"High profile consulting firm;  banking and financial services clients
market leading bonus up to 25%, flexible hybrid working model, study support",Data Scientist,$120k - $130k p.a. + super + bonus + benefits,Bluefin Resources Pty Limited,Sydney NSW,Banking & Financial Services,14d ago
232,Principal Data Consultant | Permanent Position | Sydney Based,Principal Data Consultant,"$170,000 - $186,000 (Incl. Super)",PRA,Sydney NSW,Information & Communication Technology,15h ago
233,Opportunity to deliver a large-scale data transformation for one of our major banking clients.,Principal Data Engineer - Data & Analytics,NA,The Argyle Network,Sydney NSW,Information & Communication Technology,6d ago
234,Permanent opportunity with a data science company working in the health sector,Analytics Engineer,NA,NewyTechPeople,Sydney NSW,Information & Communication Technology,6d ago
235,Are you a Data Scientist with a passion for data science? Join our team of specialists at Catapult BI.,Data Scientist,NA,CatapultBI,Sydney NSW,Information & Communication Technology,12d ago
236,Work with an ever growing organization who are working with a wide range of customers delivering cutting edge solutions across Data & Engineering,Senior Data Engineer,"$180,000k - $200,000k p.a. + Super + Bonus",Precision Sourcing,Sydney NSW,Information & Communication Technology,17h ago
237,ASIC is seeking a full time Senior Data Engineer to join their IT Team,Senior Data Engineer,NA,ASIC,Parliament House,Information & Communication Technology,5d ago
238,This is a perfect time for a Data Engineer to  join as this large organisation  transitions to GCP Cloud Services. Permanent role at North West.,Data Engineer,NA,Talent Insights Group Pty Ltd,Sydney NSW,Information & Communication Technology,6d ago
239,"You will be responsible for creating, expanding and optimising the data pipelines and working closely with the Front-End Developers to deliver data.",Data Engineer,"$103,500 - $122,700 (including superannuation)",Aldi Stores,Minchinbury,Information & Communication Technology,2d ago
240,Work with a leading business to continue to build out their Machine Learning practice as they capitalise on a massive period of growth.,Machine Learning Engineer,$150 - $160k + super + benefits,TheDriveGroup,Sydney NSW,Information & Communication Technology,5d ago
241,Looking for exceptional Machine Learning Engineers for an ecommerce Tech company - Sydney base,Machine Learning Engineer,$220k - $270k inc. Super (Excluding Equity),Charterhouse,Sydney NSW,Information & Communication Technology,5d ago
242,"Picture this… you, working on software that transforms images of the world into actionable insights. Cool right? Click for more.",Machine Learning Engineer,"$120,000 - $140,000 + Bonus",The Onset,Sydney NSW,Information & Communication Technology,21h ago
243,We have an opportunity for a Junior Machine Learning Engineer to join the team at our Sydney office.,Junior Machine Learning Engineer,NA,Stockland,Sydney NSW,Information & Communication Technology,6d ago
244,The UTS Data Science Institute invites applications for TWO 3.5 years fully funded PhD Research Studentships,PhD Studentships in Automated and Transparent Machine Learning,NA,University of Technology Sydney,Sydney NSW,Education & Training,15h ago
245,"Join our quantitative trading team and build models for high frequency asset price prediction, analyse the resulting trades for price prediction.",Machine Learning Data Scientist,NA,Susquehanna Pacific Pty Ltd,Sydney NSW,Science & Technology,8d ago
246,Senior Data Engineer/Machine Learning | Permanent Position | Sydney Based,Senior Data Engineer/Machine Learning,"$135,000 - $165,000 (Incl. Super)",PRA,Sydney NSW,Information & Communication Technology,2d ago
247,"Join a fantastic team within a challenging environment, having access to cutting edge technology and continue career development and growth.",Machine Learning Engineer,Up to $900 incl super,Correlate Resources,Sydney NSW,Information & Communication Technology,13d ago
248,CPB Contractor's is seeking an enthusiastic Data Science to support the HR strategic and annual business plans at CPB!,Data Scientist,NA,CPB Contractors Pty Limited,North Sydney,Science & Technology,2d ago
249,"Developing and managing ML/AI systems. Experience on modern cloud-based architectures and APIs using Python, SQL, Data Engineer.",AI Engineer,NA,Pearson Australia,Sydney NSW,Information & Communication Technology,22h ago
250,"CORRELATE RESOURCES : Your trusted Data Analytics Recruitment Partner. APPLY NOW for exclusive opportunities, market insights & ongoing career support",Data Scientist,NA,Correlate Resources,Sydney NSW,Science & Technology,8d ago
251,#4 Best Place to work in Australia. Large Public & Commercial Clients. WFH & Flexible working hours. Collaborative and motivating team culture.,Data Engineer,"$100,000-$120,000 + Super + 5% Bonus",AC3 Pty Limited,Sydney NSW,Information & Communication Technology,21h ago
252,Based in North Sydney. Designing large-scale experimentations on data across business silos. WFH opportunities.,Senior Data Scientist,NA,Laing O'Rourke Australia Construction Pty Limited,North Sydney,Information & Communication Technology,20h ago
253,Lead - Machine Learning - Impactful role with a global end-user.,Machine Learning Lead,"$180,000 - $200,000",Alloc8,Sydney NSW,Information & Communication Technology,16d ago
254,"Looking for a role where your input is valued,  good $$ and you get to build end-to-end data science solutions in Databricks & Azure?",Senior Data Scientist - Macquarie Park/WfH,Base + super  + 14% bonus,Talent Insights Group Pty Ltd,Macquarie Park,Science & Technology,2d ago
255,"Developing and managing ML/AI systems. Experience on modern cloud-based architectures and APIs using Python, SQL, Data Engineer.",Senior AI Systems Engineer,NA,Pearson Australia,Sydney NSW,Information & Communication Technology,7d ago
256,"CORRELATE RESOURCES : Your trusted Data Analytics Recruitment Partner. APPLY NOW for exclusive opportunities, market insights & ongoing career support",Data Scientist,$110-$130 + Super + Bonus,Correlate Resources,Sydney NSW,Science & Technology,8d ago
257,"Part of a mature team, the Machine Learning Engineer will be responsible for design, development and implementation of ML pipelines",Machine Learning Engineer,Attractive Salary Package + Benefits,Robert Walters,North Sydney,Information & Communication Technology,14d ago
258,"Liaise with critical internal & external stakeholders to provide insights, recommendations, and solutions to complex data problems.",Data Scientist - Life and Investments,NA,Zurich Financial Services Australia,North Shore & Northern Beaches,Information & Communication Technology,2d ago
259,Opportunity with a Nationally known brand - State of art technology - WFH ability,Machine Learning Engineer,NA,Intelligen Pty Ltd,Sydney NSW,Information & Communication Technology,21d ago
260,"Developing and managing ML/AI systems. Experience on modern cloud-based architectures and APIs using Python, SQL, Data Engineer.",Senior AI Systems Engineer,NA,Pearson Australia,Sydney NSW,Information & Communication Technology,7d ago
261,"Data Engineer Data Platforms Sydney Based, Permanent Role",Data Engineer,NA,Westpac Group,Sydney NSW,Information & Communication Technology,2d ago
262,"Part of a mature team, the Machine Learning Engineer will be responsible for design, development and implementation of ML pipelines",Machine Learning Engineer,Attractive Salary Package + Benefits,Robert Walters,North Sydney,Information & Communication Technology,14d ago
263,Opportunity with a Nationally known brand - State of art technology - WFH ability,Machine Learning Engineer,NA,Intelligen Pty Ltd,Sydney NSW,Information & Communication Technology,21d ago
264,"Design, maintain and optimise Market Data Links crucial to the success of all Trading desks in a highly desirable High Frequency Trading Firm.",Data Engineer - Python (High Frequency Trading),"$180,000 - $300,000",Westbury Partners,Sydney NSW,Information & Communication Technology,2d ago
265,"Engineer- Big Data Technologies Data Platforms Sydney Based, Permanent Role",Engineer- Big Data Technologies,NA,Westpac Group,Sydney NSW,Information & Communication Technology,2d ago
266,ASIC is seeking a full time Senior Data Engineer to join their IT Team,Senior Data Engineer,NA,ASIC,Parliament House,Government & Defence,5d ago
267,Flexible working practices; opportunity to work fully remotely or from home or hybrid model. Growing Analytics and Data Science team.,Data Scientist,$140k - $150k p.a. + super,Bluefin Resources Pty Limited,Sydney NSW,Banking & Financial Services,14d ago
268,Opportunity to deliver a large-scale data transformation for one of our major banking clients.,Principal Data Engineer - Data & Analytics,NA,The Argyle Network,Sydney NSW,Information & Communication Technology,6d ago
269,"Working to deliver the best client solutions. We enable you to succeed with access to top tech, amazing mentors and colleagues.",Data Engineer,NA,Versent Pty Ltd,Sydney NSW,Information & Communication Technology,6d ago
270,"Principle Data Scientist - Global Finance Company 
Provide technical leadership in the field of big data and data science while managing a DS team!",Principle Data Scientist,"$190,000.00 - $205,000.00 p.a. + incl super + bonus",Bluefin Resources Pty Limited,Sydney NSW,Banking & Financial Services,13d ago
271,Permanent opportunity with a data science company working in the health sector,Analytics Engineer,NA,NewyTechPeople,Sydney NSW,Information & Communication Technology,6d ago
272,Are you a Data Scientist with a passion for data science? Join our team of specialists at Catapult BI.,Data Scientist,NA,CatapultBI,Sydney NSW,Information & Communication Technology,12d ago
273,Join a tech-first and award-winning tech solution as a Senior Data Engineer to help architect and build a greenfield cloud data platform.,Senior Data Engineer,"$150,000 - $180,000 + Bonus",SustainAbility Consulting,Sydney NSW,Information & Communication Technology,13h ago
274,"High profile consulting firm;  banking and financial services clients
market leading bonus up to 25%, flexible hybrid working model, study support",Data Scientist,$120k - $130k p.a. + super + bonus + benefits,Bluefin Resources Pty Limited,Sydney NSW,Banking & Financial Services,14d ago
275,Work with an ever growing organization who are working with a wide range of customers delivering cutting edge solutions across Data & Engineering,Senior Data Engineer,"$180,000k - $200,000k p.a. + Super + Bonus",Precision Sourcing,Sydney NSW,Information & Communication Technology,17h ago
276,ASIC is seeking a full time Senior Data Engineer to join their IT Team,Senior Data Engineer,NA,ASIC,Parliament House,Information & Communication Technology,5d ago
277,Principal Data Consultant | Permanent Position | Sydney Based,Principal Data Consultant,"$170,000 - $186,000 (Incl. Super)",PRA,Sydney NSW,Information & Communication Technology,15h ago
278,This is a perfect time for a Data Engineer to  join as this large organisation  transitions to GCP Cloud Services. Permanent role at North West.,Data Engineer,NA,Talent Insights Group Pty Ltd,Sydney NSW,Information & Communication Technology,6d ago
279,"Responsible for designing, building and maintaining efficient, scalable data pipelines",Data Engineer | BIG W,NA,Big W,Bella Vista,Information & Communication Technology,7d ago
280,"Picture this… you, working on software that transforms images of the world into actionable insights. Cool right? Click for more.",Machine Learning Engineer,"$120,000 - $140,000 + Bonus",The Onset,Sydney NSW,Information & Communication Technology,21h ago
281,We have an opportunity for a Junior Machine Learning Engineer to join the team at our Sydney office.,Junior Machine Learning Engineer,NA,Stockland,Sydney NSW,Information & Communication Technology,6d ago
282,The UTS Data Science Institute invites applications for TWO 3.5 years fully funded PhD Research Studentships,PhD Studentships in Automated and Transparent Machine Learning,NA,University of Technology Sydney,Sydney NSW,Education & Training,15h ago
283,"Join our quantitative trading team and build models for high frequency asset price prediction, analyse the resulting trades for price prediction.",Machine Learning Data Scientist,NA,Susquehanna Pacific Pty Ltd,Sydney NSW,Science & Technology,8d ago
284,Work with a leading business to continue to build out their Machine Learning practice as they capitalise on a massive period of growth.,Machine Learning Engineer,$150 - $160k + super + benefits,TheDriveGroup,Sydney NSW,Information & Communication Technology,5d ago
285,Looking for exceptional Machine Learning Engineers for an ecommerce Tech company - Sydney base,Machine Learning Engineer,$220k - $270k inc. Super (Excluding Equity),Charterhouse,Sydney NSW,Information & Communication Technology,5d ago
286,"Join a fantastic team within a challenging environment, having access to cutting edge technology and continue career development and growth.",Machine Learning Engineer,Up to $900 incl super,Correlate Resources,Sydney NSW,Information & Communication Technology,13d ago
287,CPB Contractor's is seeking an enthusiastic Data Science to support the HR strategic and annual business plans at CPB!,Data Scientist,NA,CPB Contractors Pty Limited,North Sydney,Science & Technology,2d ago
288,"CORRELATE RESOURCES : Your trusted Data Analytics Recruitment Partner. APPLY NOW for exclusive opportunities, market insights & ongoing career support",Data Scientist,NA,Correlate Resources,Sydney NSW,Science & Technology,8d ago
289,Senior Data Engineer/Machine Learning | Permanent Position | Sydney Based,Senior Data Engineer/Machine Learning,"$135,000 - $165,000 (Incl. Super)",PRA,Sydney NSW,Information & Communication Technology,2d ago
290,#4 Best Place to work in Australia. Large Public & Commercial Clients. WFH & Flexible working hours. Collaborative and motivating team culture.,Data Engineer,"$100,000-$120,000 + Super + 5% Bonus",AC3 Pty Limited,Sydney NSW,Information & Communication Technology,21h ago
291,Based in North Sydney. Designing large-scale experimentations on data across business silos. WFH opportunities.,Senior Data Scientist,NA,Laing O'Rourke Australia Construction Pty Limited,North Sydney,Information & Communication Technology,20h ago
292,Lead - Machine Learning - Impactful role with a global end-user.,Machine Learning Lead,"$180,000 - $200,000",Alloc8,Sydney NSW,Information & Communication Technology,16d ago
293,"Looking for a role where your input is valued,  good $$ and you get to build end-to-end data science solutions in Databricks & Azure?",Senior Data Scientist - Macquarie Park/WfH,Base + super  + 14% bonus,Talent Insights Group Pty Ltd,Macquarie Park,Science & Technology,2d ago
294,"Developing and managing ML/AI systems. Experience on modern cloud-based architectures and APIs using Python, SQL, Data Engineer.",AI Engineer,NA,Pearson Australia,Sydney NSW,Information & Communication Technology,22h ago
295,"CORRELATE RESOURCES : Your trusted Data Analytics Recruitment Partner. APPLY NOW for exclusive opportunities, market insights & ongoing career support",Data Scientist,$110-$130 + Super + Bonus,Correlate Resources,Sydney NSW,Science & Technology,8d ago
